20230424_baseline_2 Sap_UP H2O_to 3200 nm-3 - RawData
Wavelength nm.,Abs.
593.00,0.014
594.00,0.014
595.00,0.014
596.00,0.014
597.00,0.014
598.00,0.014
599.00,0.014
600.00,0.014
601.00,0.014
602.00,0.014
603.00,0.014
604.00,0.014
605.00,0.014
606.00,0.014
607.00,0.014
608.00,0.014
609.00,0.014
610.00,0.015
611.00,0.014
612.00,0.014
613.00,0.014
614.00,0.015
615.00,0.014
616.00,0.015
617.00,0.015
618.00,0.015
619.00,0.015
620.00,0.015
621.00,0.015
622.00,0.014
623.00,0.015
624.00,0.015
625.00,0.015
626.00,0.015
627.00,0.014
628.00,0.014
629.00,0.014
630.00,0.014
631.00,0.014
632.00,0.014
633.00,0.014
634.00,0.014
635.00,0.014
636.00,0.014
637.00,0.014
638.00,0.014
639.00,0.015
640.00,0.015
641.00,0.015
642.00,0.015
643.00,0.015
644.00,0.015
645.00,0.015
646.00,0.015
647.00,0.016
648.00,0.016
649.00,0.015
650.00,0.016
651.00,0.015
652.00,0.015
653.00,0.015
654.00,0.014
655.00,0.015
656.00,0.015
657.00,0.016
658.00,0.016
659.00,0.016
660.00,0.016
661.00,0.016
662.00,0.016
663.00,0.016
664.00,0.016
665.00,0.015
666.00,0.016
667.00,0.016
668.00,0.015
669.00,0.015
670.00,0.015
671.00,0.015
672.00,0.015
673.00,0.015
674.00,0.014
675.00,0.015
676.00,0.016
677.00,0.015
678.00,0.015
679.00,0.015
680.00,0.015
681.00,0.015
682.00,0.016
683.00,0.016
684.00,0.016
685.00,0.016
686.00,0.015
687.00,0.015
688.00,0.016
689.00,0.014
690.00,0.014
691.00,0.014
692.00,0.014
693.00,0.014
694.00,0.014
695.00,0.014
696.00,0.015
697.00,0.015
698.00,0.015
699.00,0.015
700.00,0.015
701.00,0.015
702.00,0.015
703.00,0.016
704.00,0.016
705.00,0.016
706.00,0.016
707.00,0.015
708.00,0.015
709.00,0.015
710.00,0.015
711.00,0.015
712.00,0.015
713.00,0.015
714.00,0.014
715.00,0.014
716.00,0.015
717.00,0.015
718.00,0.015
719.00,0.014
720.00,0.014
721.00,0.014
722.00,0.014
723.00,0.015
724.00,0.015
725.00,0.014
726.00,0.015
727.00,0.015
728.00,0.015
729.00,0.015
730.00,0.015
731.00,0.015
732.00,0.014
733.00,0.015
734.00,0.015
735.00,0.015
736.00,0.014
737.00,0.014
738.00,0.014
739.00,0.014
740.00,0.015
741.00,0.016
742.00,0.015
743.00,0.015
744.00,0.015
745.00,0.015
746.00,0.015
747.00,0.015
748.00,0.015
749.00,0.014
750.00,0.015
751.00,0.015
752.00,0.015
753.00,0.015
754.00,0.015
755.00,0.015
756.00,0.015
757.00,0.015
758.00,0.015
759.00,0.015
760.00,0.015
761.00,0.015
762.00,0.015
763.00,0.015
764.00,0.015
765.00,0.016
766.00,0.016
767.00,0.015
768.00,0.014
769.00,0.014
770.00,0.015
771.00,0.014
772.00,0.015
773.00,0.016
774.00,0.015
775.00,0.015
776.00,0.014
777.00,0.015
778.00,0.014
