20230424_baseline_2 Sap_UP H2O_to 3200 nm-3 - RawData
Wavelength nm.,Abs.
1441.00,0.102
1442.00,0.103
1443.00,0.102
1444.00,0.102
1445.00,0.102
1446.00,0.102
1447.00,0.103
1448.00,0.102
1449.00,0.103
1450.00,0.104
1451.00,0.104
1452.00,0.104
1453.00,0.103
1454.00,0.103
1455.00,0.103
1456.00,0.103
1457.00,0.102
1458.00,0.102
1459.00,0.103
1460.00,0.102
1461.00,0.102
1462.00,0.102
1463.00,0.102
1464.00,0.101
1465.00,0.100
1466.00,0.101
1467.00,0.100
1468.00,0.100
1469.00,0.100
1470.00,0.099
1471.00,0.098
1472.00,0.097
1473.00,0.096
1474.00,0.095
1475.00,0.095
1476.00,0.094
1477.00,0.093
1478.00,0.092
1479.00,0.092
1480.00,0.093
1481.00,0.092
1482.00,0.091
1483.00,0.090
1484.00,0.089
1485.00,0.087
1486.00,0.087
1487.00,0.086
1488.00,0.085
1489.00,0.085
1490.00,0.085
1491.00,0.084
1492.00,0.084
1493.00,0.083
1494.00,0.082
1495.00,0.081
1496.00,0.080
1497.00,0.079
1498.00,0.078
1499.00,0.078
1500.00,0.077
1501.00,0.076
1502.00,0.075
1503.00,0.075
1504.00,0.074
1505.00,0.073
1506.00,0.072
1507.00,0.071
1508.00,0.072
1509.00,0.072
1510.00,0.071
1511.00,0.071
1512.00,0.070
1513.00,0.068
1514.00,0.067
1515.00,0.067
1516.00,0.066
1517.00,0.065
1518.00,0.065
1519.00,0.065
1520.00,0.064
1521.00,0.064
1522.00,0.064
1523.00,0.063
1524.00,0.062
1525.00,0.062
1526.00,0.061
1527.00,0.061
1528.00,0.060
1529.00,0.060
1530.00,0.060
1531.00,0.059
1532.00,0.058
1533.00,0.057
1534.00,0.056
1535.00,0.056
1536.00,0.056
1537.00,0.057
1538.00,0.056
1539.00,0.056
1540.00,0.056
1541.00,0.056
1542.00,0.055
1543.00,0.054
1544.00,0.053
1545.00,0.052
1546.00,0.052
1547.00,0.052
1548.00,0.052
1549.00,0.051
1550.00,0.051
1551.00,0.051
1552.00,0.051
1553.00,0.051
1554.00,0.051
1555.00,0.051
1556.00,0.051
1557.00,0.050
1558.00,0.050
1559.00,0.049
1560.00,0.049
1561.00,0.048
1562.00,0.047
1563.00,0.047
1564.00,0.047
1565.00,0.047
1566.00,0.047
1567.00,0.047
1568.00,0.047
1569.00,0.047
1570.00,0.047
1571.00,0.047
1572.00,0.046
1573.00,0.046
1574.00,0.045
1575.00,0.045
1576.00,0.046
1577.00,0.045
1578.00,0.045
1579.00,0.045
1580.00,0.045
1581.00,0.045
1582.00,0.044
1583.00,0.044
1584.00,0.044
1585.00,0.045
1586.00,0.045
1587.00,0.045
1588.00,0.044
1589.00,0.044
1590.00,0.044
1591.00,0.043
1592.00,0.042
1593.00,0.042
1594.00,0.042
1595.00,0.042
1596.00,0.042
1597.00,0.042
1598.00,0.042
1599.00,0.042
1600.00,0.042
1601.00,0.042
1602.00,0.043
1603.00,0.042
1604.00,0.042
1605.00,0.042
1606.00,0.042
1607.00,0.041
1608.00,0.041
1609.00,0.040
1610.00,0.039
1611.00,0.039
1612.00,0.039
1613.00,0.039
1614.00,0.039
1615.00,0.040
1616.00,0.040
1617.00,0.041
1618.00,0.041
1619.00,0.041
1620.00,0.041
1621.00,0.041
1622.00,0.040
1623.00,0.040
1624.00,0.040
1625.00,0.040
1626.00,0.039
1627.00,0.039
1628.00,0.038
1629.00,0.038
1630.00,0.038
1631.00,0.038
1632.00,0.038
1633.00,0.039
1634.00,0.040
1635.00,0.041
1636.00,0.041
1637.00,0.041
1638.00,0.040
1639.00,0.039
1640.00,0.038
1641.00,0.038
1642.00,0.038
1643.00,0.038
1644.00,0.038
1645.00,0.037
1646.00,0.037
1647.00,0.037
1648.00,0.038
1649.00,0.038
1650.00,0.038
1651.00,0.039
1652.00,0.039
1653.00,0.040
1654.00,0.040
1655.00,0.040
1656.00,0.040
1657.00,0.039
1658.00,0.039
1659.00,0.038
1660.00,0.037
1661.00,0.037
1662.00,0.037
1663.00,0.037
1664.00,0.037
1665.00,0.038
1666.00,0.038
1667.00,0.038
1668.00,0.038
1669.00,0.038
1670.00,0.038
1671.00,0.038
1672.00,0.038
1673.00,0.039
1674.00,0.039
1675.00,0.040
1676.00,0.039
1677.00,0.038
1678.00,0.038
1679.00,0.037
1680.00,0.037
1681.00,0.036
1682.00,0.036
1683.00,0.037
1684.00,0.037
1685.00,0.037
1686.00,0.037
1687.00,0.037
1688.00,0.038
1689.00,0.038
1690.00,0.038
1691.00,0.038
1692.00,0.039
1693.00,0.039
1694.00,0.039
1695.00,0.038
1696.00,0.037
1697.00,0.037
1698.00,0.036
1699.00,0.036
1700.00,0.036
1701.00,0.036
1702.00,0.036
1703.00,0.037
1704.00,0.038
1705.00,0.038
1706.00,0.039
1707.00,0.040
1708.00,0.040
1709.00,0.039
1710.00,0.039
1711.00,0.039
1712.00,0.039
1713.00,0.038
1714.00,0.038
1715.00,0.038
1716.00,0.038
1717.00,0.037
1718.00,0.036
1719.00,0.036
1720.00,0.037
1721.00,0.037
1722.00,0.038
1723.00,0.039
1724.00,0.040
1725.00,0.040
1726.00,0.041
1727.00,0.041
1728.00,0.041
1729.00,0.041
1730.00,0.041
1731.00,0.040
1732.00,0.040
1733.00,0.040
1734.00,0.040
1735.00,0.040
1736.00,0.040
1737.00,0.039
1738.00,0.039
1739.00,0.039
1740.00,0.040
1741.00,0.041
1742.00,0.041
1743.00,0.042
1744.00,0.043
1745.00,0.043
1746.00,0.043
1747.00,0.042
1748.00,0.043
1749.00,0.043
1750.00,0.043
1751.00,0.043
1752.00,0.043
1753.00,0.043
1754.00,0.043
1755.00,0.042
1756.00,0.042
1757.00,0.042
1758.00,0.042
1759.00,0.042
1760.00,0.043
1761.00,0.043
1762.00,0.044
1763.00,0.044
1764.00,0.044
1765.00,0.045
1766.00,0.045
1767.00,0.045
1768.00,0.046
1769.00,0.046
1770.00,0.046
1771.00,0.046
1772.00,0.046
1773.00,0.049
1774.00,0.052
1775.00,0.051
1776.00,0.052
1777.00,0.052
1778.00,0.051
1779.00,0.051
1780.00,0.051
1781.00,0.052
1782.00,0.052
1783.00,0.052
1784.00,0.053
1785.00,0.053
1786.00,0.053
1787.00,0.053
1788.00,0.054
1789.00,0.055
1790.00,0.055
1791.00,0.055
1792.00,0.055
1793.00,0.054
1794.00,0.053
1795.00,0.053
1796.00,0.053
1797.00,0.053
1798.00,0.053
1799.00,0.053
1800.00,0.052
1801.00,0.052
1802.00,0.052
1803.00,0.053
1804.00,0.053
1805.00,0.053
1806.00,0.053
1807.00,0.053
1808.00,0.053
1809.00,0.054
1810.00,0.054
1811.00,0.054
1812.00,0.054
1813.00,0.053
1814.00,0.054
1815.00,0.054
1816.00,0.053
