20230424_F3_PCT-C3-SO3Na 2 mgml_H2SO4 0p01 N-2 - RawData
Wavelength nm.,Abs.
592.00,0.347
593.00,0.348
594.00,0.349
595.00,0.349
596.00,0.350
597.00,0.351
598.00,0.351
599.00,0.351
600.00,0.351
601.00,0.352
602.00,0.352
603.00,0.351
604.00,0.351
605.00,0.351
606.00,0.351
607.00,0.350
608.00,0.350
609.00,0.349
610.00,0.349
611.00,0.349
612.00,0.348
613.00,0.348
614.00,0.347
615.00,0.347
616.00,0.346
617.00,0.346
618.00,0.346
619.00,0.345
620.00,0.344
621.00,0.343
622.00,0.342
623.00,0.341
624.00,0.341
625.00,0.340
626.00,0.339
627.00,0.338
628.00,0.337
629.00,0.336
630.00,0.336
631.00,0.335
632.00,0.334
633.00,0.333
634.00,0.334
635.00,0.333
636.00,0.332
637.00,0.331
638.00,0.330
639.00,0.330
640.00,0.329
641.00,0.328
642.00,0.327
643.00,0.327
644.00,0.326
645.00,0.324
646.00,0.323
647.00,0.321
648.00,0.319
649.00,0.317
650.00,0.315
651.00,0.313
652.00,0.310
653.00,0.308
654.00,0.306
655.00,0.303
656.00,0.301
657.00,0.298
658.00,0.295
659.00,0.292
660.00,0.289
661.00,0.285
662.00,0.281
663.00,0.278
664.00,0.274
665.00,0.270
666.00,0.266
667.00,0.261
668.00,0.256
669.00,0.252
670.00,0.248
671.00,0.242
672.00,0.238
673.00,0.234
674.00,0.230
675.00,0.226
676.00,0.221
677.00,0.217
678.00,0.212
679.00,0.208
680.00,0.205
681.00,0.200
682.00,0.196
683.00,0.192
684.00,0.189
685.00,0.185
686.00,0.182
687.00,0.178
688.00,0.174
689.00,0.170
690.00,0.167
691.00,0.165
692.00,0.162
693.00,0.159
694.00,0.157
695.00,0.154
696.00,0.152
697.00,0.150
698.00,0.148
699.00,0.146
700.00,0.145
701.00,0.144
702.00,0.142
703.00,0.140
704.00,0.139
705.00,0.138
706.00,0.136
707.00,0.134
708.00,0.133
709.00,0.132
710.00,0.131
711.00,0.131
712.00,0.130
713.00,0.130
714.00,0.129
715.00,0.128
716.00,0.127
717.00,0.126
718.00,0.126
719.00,0.125
720.00,0.125
721.00,0.125
722.00,0.124
723.00,0.124
724.00,0.123
725.00,0.123
726.00,0.122
727.00,0.122
728.00,0.123
729.00,0.123
730.00,0.122
731.00,0.122
732.00,0.122
733.00,0.122
734.00,0.122
735.00,0.121
736.00,0.121
737.00,0.120
738.00,0.120
739.00,0.120
740.00,0.120
741.00,0.121
742.00,0.122
743.00,0.121
744.00,0.121
745.00,0.120
746.00,0.120
747.00,0.120
748.00,0.121
749.00,0.121
750.00,0.121
751.00,0.121
752.00,0.121
753.00,0.122
754.00,0.121
755.00,0.122
756.00,0.123
757.00,0.122
758.00,0.122
759.00,0.122
760.00,0.122
761.00,0.122
762.00,0.123
763.00,0.123
764.00,0.123
765.00,0.123
766.00,0.123
767.00,0.122
768.00,0.122
769.00,0.123
770.00,0.124
771.00,0.123
772.00,0.124
773.00,0.125
774.00,0.125
775.00,0.124
776.00,0.125
777.00,0.125
778.00,0.124
779.00,0.124
780.00,0.125
781.00,0.126
782.00,0.126
783.00,0.126
784.00,0.128
785.00,0.128
786.00,0.127
787.00,0.127
788.00,0.126
789.00,0.126
790.00,0.127
791.00,0.128
792.00,0.128
793.00,0.128
794.00,0.127
795.00,0.128
796.00,0.130
797.00,0.129
798.00,0.130
799.00,0.131
800.00,0.131
801.00,0.130
802.00,0.131
803.00,0.132
804.00,0.132
805.00,0.132
806.00,0.133
807.00,0.133
808.00,0.132
809.00,0.132
810.00,0.134
811.00,0.133
812.00,0.133
813.00,0.134
814.00,0.133
815.00,0.133
816.00,0.133
817.00,0.134
818.00,0.135
819.00,0.134
820.00,0.134
821.00,0.136
822.00,0.136
823.00,0.136
824.00,0.137
825.00,0.137
826.00,0.135
827.00,0.136
828.00,0.138
829.00,0.139
830.00,0.138
831.00,0.137
832.00,0.138
833.00,0.139
834.00,0.139
835.00,0.140
836.00,0.141
837.00,0.139
838.00,0.141
839.00,0.141
840.00,0.140
841.00,0.141
842.00,0.143
843.00,0.143
844.00,0.144
845.00,0.143
846.00,0.143
847.00,0.145
848.00,0.146
849.00,0.144
850.00,0.144
851.00,0.146
852.00,0.146
853.00,0.146
854.00,0.147
855.00,0.146
856.00,0.147
857.00,0.147
858.00,0.146
859.00,0.146
860.00,0.145
861.00,0.148
862.00,0.149
863.00,0.149
864.00,0.149
865.00,0.148
866.00,0.150
867.00,0.150
868.00,0.150
869.00,0.151
870.00,0.151
871.00,0.151
872.00,0.151
873.00,0.152
874.00,0.152
875.00,0.152
876.00,0.152
877.00,0.151
878.00,0.150
879.00,0.153
880.00,0.168
881.00,0.177
882.00,0.175
883.00,0.177
884.00,0.179
885.00,0.177
886.00,0.176
887.00,0.175
888.00,0.175
889.00,0.174
890.00,0.175
891.00,0.176
892.00,0.176
893.00,0.175
894.00,0.175
895.00,0.172
896.00,0.170
897.00,0.171
898.00,0.172
899.00,0.174
900.00,0.177
901.00,0.179
902.00,0.177
903.00,0.177
904.00,0.178
905.00,0.178
906.00,0.175
907.00,0.175
908.00,0.178
909.00,0.179
910.00,0.178
911.00,0.177
912.00,0.178
913.00,0.176
914.00,0.173
915.00,0.175
916.00,0.176
917.00,0.176
918.00,0.175
919.00,0.174
920.00,0.176
921.00,0.176
922.00,0.177
923.00,0.176
924.00,0.174
925.00,0.176
926.00,0.177
927.00,0.178
928.00,0.176
929.00,0.174
930.00,0.175
931.00,0.176
932.00,0.177
933.00,0.176
934.00,0.175
935.00,0.174
936.00,0.174
937.00,0.175
938.00,0.174
939.00,0.173
940.00,0.174
941.00,0.174
942.00,0.174
943.00,0.173
944.00,0.173
945.00,0.173
946.00,0.172
947.00,0.173
948.00,0.173
949.00,0.173
950.00,0.173
951.00,0.173
952.00,0.173
953.00,0.172
954.00,0.173
955.00,0.175
956.00,0.176
957.00,0.175
958.00,0.173
959.00,0.175
960.00,0.175
961.00,0.175
962.00,0.176
963.00,0.174
964.00,0.173
965.00,0.173
966.00,0.173
967.00,0.172
968.00,0.172
969.00,0.173
970.00,0.173
971.00,0.173
972.00,0.172
973.00,0.173
974.00,0.173
975.00,0.174
976.00,0.174
977.00,0.172
978.00,0.172
979.00,0.173
980.00,0.173
981.00,0.173
982.00,0.172
983.00,0.172
984.00,0.171
985.00,0.171
986.00,0.171
987.00,0.171
988.00,0.173
989.00,0.173
990.00,0.173
991.00,0.172
992.00,0.172
993.00,0.172
994.00,0.172
995.00,0.171
996.00,0.170
997.00,0.171
998.00,0.171
999.00,0.170
1000.00,0.170
1001.00,0.169
1002.00,0.169
1003.00,0.170
1004.00,0.169
1005.00,0.169
1006.00,0.170
1007.00,0.169
1008.00,0.169
1009.00,0.168
1010.00,0.166
1011.00,0.167
1012.00,0.168
1013.00,0.167
1014.00,0.167
1015.00,0.166
1016.00,0.166
1017.00,0.167
1018.00,0.166
1019.00,0.165
1020.00,0.164
1021.00,0.164
1022.00,0.164
1023.00,0.163
1024.00,0.163
1025.00,0.163
1026.00,0.164
1027.00,0.163
1028.00,0.162
1029.00,0.162
1030.00,0.162
1031.00,0.161
1032.00,0.160
1033.00,0.160
1034.00,0.159
1035.00,0.160
1036.00,0.160
1037.00,0.159
1038.00,0.157
1039.00,0.156
1040.00,0.156
1041.00,0.156
1042.00,0.155
1043.00,0.155
1044.00,0.155
1045.00,0.154
1046.00,0.154
1047.00,0.155
1048.00,0.153
1049.00,0.152
1050.00,0.153
1051.00,0.151
1052.00,0.150
1053.00,0.150
