20230424_F4_PCT-C3-SO3Na 2 mgml_H2SO4 0p05 N - RawData
Wavelength nm.,Abs.
593.00,0.331
594.00,0.331
595.00,0.332
596.00,0.332
597.00,0.333
598.00,0.333
599.00,0.333
600.00,0.334
601.00,0.334
602.00,0.334
603.00,0.334
604.00,0.333
605.00,0.333
606.00,0.333
607.00,0.332
608.00,0.332
609.00,0.331
610.00,0.331
611.00,0.330
612.00,0.330
613.00,0.330
614.00,0.330
615.00,0.329
616.00,0.328
617.00,0.328
618.00,0.327
619.00,0.326
620.00,0.325
621.00,0.324
622.00,0.324
623.00,0.323
624.00,0.322
625.00,0.321
626.00,0.320
627.00,0.319
628.00,0.318
629.00,0.318
630.00,0.318
631.00,0.317
632.00,0.316
633.00,0.316
634.00,0.316
635.00,0.315
636.00,0.314
637.00,0.313
638.00,0.313
639.00,0.312
640.00,0.312
641.00,0.311
642.00,0.310
643.00,0.309
644.00,0.307
645.00,0.306
646.00,0.305
647.00,0.303
648.00,0.301
649.00,0.300
650.00,0.298
651.00,0.296
652.00,0.295
653.00,0.292
654.00,0.290
655.00,0.288
656.00,0.285
657.00,0.282
658.00,0.280
659.00,0.278
660.00,0.275
661.00,0.271
662.00,0.268
663.00,0.264
664.00,0.261
665.00,0.257
666.00,0.254
667.00,0.249
668.00,0.245
669.00,0.241
670.00,0.237
671.00,0.233
672.00,0.230
673.00,0.225
674.00,0.222
675.00,0.219
676.00,0.214
677.00,0.210
678.00,0.206
679.00,0.203
680.00,0.199
681.00,0.195
682.00,0.192
683.00,0.188
684.00,0.185
685.00,0.182
686.00,0.179
687.00,0.175
688.00,0.172
689.00,0.169
690.00,0.165
691.00,0.163
692.00,0.161
693.00,0.158
694.00,0.156
695.00,0.154
696.00,0.152
697.00,0.150
698.00,0.148
699.00,0.147
700.00,0.145
701.00,0.145
702.00,0.144
703.00,0.141
704.00,0.140
705.00,0.139
706.00,0.138
707.00,0.136
708.00,0.135
709.00,0.134
710.00,0.134
711.00,0.133
